index,id, MLS, Price, Latitude, Longitude, LandSize, SizeInterior, Bedrooms, Bathrooms,
1,24082655, SK885448,16000,50.224181,-103.446469, 6788 sqft, 800 sqft,2,0, 
2,24666376, SK902828,16200,50.931103,-102.798347, 5200 sqft, 628 sqft,1,1, 
3,24927526, SK909809,17900,52.984432,-105.429917, 7416 sqft, 729 sqft,3,1, 
4,24937786, SK910157,18900,50.456525,-104.622541, 3126 sqft, 768 sqft,2,1, 
5,24428943,1244896,19900,47.9588,-53.037047, app. .43 acre|10890 - 21799 sqft (1/4 - 1/2 ac), 800 sqft,3,1, 
6,24938010, A2004235,20000,53.88578641,-119.1203402, 8376 sqft|7251 - 10889 sqft, 1056 sqft, 3 + 1,1, 
7,24958754, SK910699,22500,51.638593,-102.431127, 6500 sqft, 818 sqft,2,1, 
8,24827918, SK907076,22900,51.562123,-101.891343, 6100 sqft, 616 sqft,2,1, 
9,24909507, SK909423,22900,53.206899,-105.745166, 4170 sqft, 1150 sqft,3,2, 
10,24414153, NB072707,23500,45.355075,-67.115049,0,728, 2 + 0,1, 
11,25001164, SK911644,24000,53.366626,-107.524909, 4453 sqft, 509 sqft,2,1, 
12,24940571, SK910130,24700,50.466622,-104.622785, 3126 sqft, 613 sqft,2,1, 
13,24639609,1246991,24900,48.672869,-53.768829, .85 Acre|.5 - 9.99 acres, 950 sqft,2,1, 
14,24994684, SK911484,24900,50.45389,-104.62136, 3129 sqft, 855 sqft,2,1, 
15,25040260, SK913516,24900,50.463172,-104.640275, 4795 sqft, 743 sqft,2,1, 
16,24897083, SK909109,24900,50.900805,-103.844843, 6000 sqft, 672 sqft,2,1, 
17,24846160, A1256822,24900,51.09285347,-113.9435048, 493 m2|4051 - 7250 sqft, 1115 sqft, 3 + 1,3, 
18,24509639, SK898491,24900,52.393407,-104.983823, 100x125.0, 984 sqft,3,0, 
19,24754774, SK905339,24900,50.102612,-102.633096, 33.3x125, 990 sqft,2,1, 
