index,id,MLS,Price,Latitude,Longitude,LandSize,SizeInterior,Bedrooms,Bathrooms
1,24082655, SK885448,16000,50.224181,-103.446469,6788,800,2,0
2,24666376, SK902828,16200,50.931103,-102.798347,5200,628,1,1
3,24927526, SK909809,17900,52.984432,-105.429917,7416,729,3,1
4,24937786, SK910157,18900,50.456525,-104.622541,3126,768,2,1
5,24428943,1244896,19900,47.9588,-53.037047,18730.8,800,3,1
6,24938010, A2004235,20000,53.88578641,-119.1203402,8376,1056,4,1
7,24958754, SK910699,22500,51.638593,-102.431127,6500,818,2,1
8,24827918, SK907076,22900,51.562123,-101.891343,6100,616,2,1
9,24909507, SK909423,22900,53.206899,-105.745166,4170,1150,3,2
10,24414153, NB072707,23500,45.355075,-67.115049,0,728,2,1
11,25001164, SK911644,24000,53.366626,-107.524909,4453,509,2,1
12,24940571, SK910130,24700,50.466622,-104.622785,3126,613,2,1
13,24639609,1246991,24900,48.672869,-53.768829,37026,950,2,1
14,24994684, SK911484,24900,50.45389,-104.62136,3129,855,2,1
15,25040260, SK913516,24900,50.463172,-104.640275,4795,743,2,1
16,24897083, SK909109,24900,50.900805,-103.844843,6000,672,2,1
17,24846160, A1256822,24900,51.09285347,-113.9435048,5306.6027,1115,4,3
18,24509639, SK898491,24900,52.393407,-104.983823,12500,984,3,0
19,24754774, SK905339,24900,50.102612,-102.633096,4162.5,990,2,1
20,24792772,202220516,25000,46.1881004,-60.0161189,0,0,4,1
21,25009000, SK911824,25000,49.265897,-102.279189,6000,658,0,0
22,24346552, SK892989,25000,50.862119,-109.268442,6000,893,4,2
23,24968960, A2006174,25000,52.31686475,-110.4487944,5984.7284,1736,5,2
24,25031755, SK912371,25000,52.328547,-104.496713,6098.4,592,1,1
25,24978864, E4317349,25000,53.82014008,-114.6797504,7840.747677,1186.18178,1,0
26,25022334, SK911874,25900,51.959569,-102.67591,9375,624,1,1
27,25000645, SK911645,26000,50.450936,-104.59941,3123,971,3,2
28,24287086, M141676,27000,46.601942,-64.907416,0,1500,3,2
29,24836509,1249324,27500,47.716193,-53.972737,0,1060,5,2
30,24918681, E4315118,27500,53.66223331,-111.2311331,0,639.913855,1,1
31,24943433, SK910319,27900,50.454323,-104.625156,3129,560,2,1
32,24734340,202218975,27900,51.23354,-101.35241,0,540,1,1
33,25008660, SK911817,27999,50.197472,-103.13554,62500,572,1,1
34,24908520,1250200,28000,47.81448,-53.43926,2303.4746,704,1,1
35,24801683,1249155,28000,48.783676,-58.084941,0,360,2,1
36,25043984,202226087,28000,49.323252,-100.842027,0,1200,3,1
37,25027391, SK912273,28900,50.457136,-104.628589,4684,677,2,1
